"Freq [GHz]","dB(S(1,1)) []"
26,-1.1098989488938
26.0201005025126,-1.12935469499387
26.0402010050251,-1.14930058541708
26.0603015075377,-1.16975235260288
26.0804020100503,-1.19072633467493
26.1005025125628,-1.21223950233586
26.1206030150754,-1.23430948710356
26.1407035175879,-1.25695461096296
26.1608040201005,-1.28019391751175
26.1809045226131,-1.30404720468378
26.2010050251256,-1.32853505913827
26.2211055276382,-1.35367889240935
26.2412060301508,-1.37950097891574
26.2613065326633,-1.40602449593702
26.2814070351759,-1.43327356566974
26.3015075376884,-1.46127329948388
26.321608040201,-1.49004984450822
26.3417085427136,-1.51963043268134
26.3618090452261,-1.55004343241456
26.3819095477387,-1.58131840302259
26.4020100502513,-1.6134861520887
26.4221105527638,-1.64657879594241
26.4422110552764,-1.68062982344046
26.4623115577889,-1.71567416325548
26.4824120603015,-1.75174825489103
26.5025125628141,-1.78889012365856
26.5226130653266,-1.82713945986846
26.5427135678392,-1.86653770250735
26.5628140703518,-1.9071281276941
26.5829145728643,-1.94895594223033
26.6030150753769,-1.99206838258624
26.6231155778894,-2.03651481969089
26.643216080402,-2.08234686992567
26.6633165829146,-2.12961851275491
26.6834170854271,-2.17838621546415
26.7035175879397,-2.22870906551872
26.7236180904523,-2.28064891110177
26.7437185929648,-2.33427051044234
26.7638190954774,-2.38964169060264
26.78391959799,-2.44683351645768
26.8040201005025,-2.50592047067431
26.8241206030151,-2.56698064557803
26.8442211055276,-2.63009594788926
26.8643216080402,-2.69535231741497
26.8844221105528,-2.76283996090106
26.9045226130653,-2.83265360238564
26.9246231155779,-2.90489275154748
26.9447236180905,-2.97966199171979
26.964824120603,-3.05707128944034
26.9849246231156,-3.1372363276407
27.0050251256281,-3.22027886484178
27.0251256281407,-3.30632712302986
27.0452261306533,-3.3955162072404
27.0653266331658,-3.48798856028661
27.0854271356784,-3.58389445654486
27.105527638191,-3.68339253926253
27.1256281407035,-3.78665040649863
27.1457286432161,-3.89384525156275
27.1658291457286,-4.00516456470152
27.1859296482412,-4.12080690382285
27.2060301507538,-4.24098274327297
27.2261306532663,-4.36591541113171
27.2462311557789,-4.49584212720828
27.2663316582915,-4.63101515596446
27.286432160804,-4.77170309103035
27.3065326633166,-4.91819229089716
27.3266331658291,-5.07078848888048
27.3467336683417,-5.22981860467884
27.3668341708543,-5.39563278997911
27.3869346733668,-5.56860674679272
27.4070351758794,-5.74914436482455
27.427135678392,-5.93768073352725
27.4472361809045,-6.13468559603047
27.4673366834171,-6.34066732644983
27.4874371859297,-6.55617752993833
27.5075376884422,-6.78181638726284
27.5276381909548,-7.01823889401389
27.5477386934673,-7.2661621805886
27.5678391959799,-7.52637414526403
27.5879396984925,-7.79974369230985
27.608040201005,-8.08723294473913
27.6281407035176,-8.38991190330145
27.6482412060302,-8.70897615858437
27.6683417085427,-9.04576844425793
27.6884422110553,-9.40180506475605
27.7085427135678,-9.77880856655191
27.7286432160804,-10.178748487778
27.748743718593,-10.6038926749494
27.7688442211055,-11.0568725872575
27.7889447236181,-11.5407673565035
27.8090452261307,-12.0592133517914
27.8291457286432,-12.616548961297
27.8492462311558,-13.2180088181049
27.8693467336683,-13.8699887095803
27.8894472361809,-14.5804135188724
27.9095477386935,-15.3592584851308
27.929648241206,-16.2193035029771
27.9497487437186,-17.1772488437344
27.9698492462312,-18.2553998837347
27.9899497487437,-19.4842465997473
28.0100502512563,-20.906377370786
28.0301507537688,-22.5818917950349
28.0502512562814,-24.5923843316459
28.070351758794,-27.0196072993928
28.0904522613065,-29.7487173337972
28.1105527638191,-31.5855319067523
28.1306532663317,-30.5115901752316
28.1507537688442,-27.8495874385566
28.1708542713568,-25.30938095514
28.1909547738693,-23.1926367632635
28.2110552763819,-21.4381626403334
28.2311557788945,-19.9592329620016
28.251256281407,-18.6893949358631
28.2713567839196,-17.581407850741
28.2914572864322,-16.6016181029716
28.3115577889447,-15.7255709439666
28.3316582914573,-14.9350790789945
28.3517587939699,-14.2163100232344
28.3718592964824,-13.5585261368961
28.391959798995,-12.9532383145242
28.4120603015075,-12.3936249674979
28.4321608040201,-11.8741244504423
28.4522613065327,-11.3901433031538
28.4723618090452,-10.9378434609867
28.4924623115578,-10.5139843886662
28.5125628140704,-10.1158041263554
28.5326633165829,-9.74092837863061
28.5527638190955,-9.38730013263405
28.572864321608,-9.0531245229581
28.5929648241206,-8.73682517092709
28.6130653266332,-8.43700926505909
28.6331658291457,-8.15243937563837
28.6532663316583,-7.88201051114971
28.6733668341709,-7.62473129424577
28.6934673366834,-7.37970840406795
28.713567839196,-7.14613362987253
28.7336683417085,-6.92327302835739
28.7537688442211,-6.71045778793936
28.7738693467337,-6.50707648736537
28.7939698492462,-6.31256850047487
28.8140703517588,-6.12641834869057
28.8341708542714,-5.94815084154162
28.8542713567839,-5.77732687589624
28.8743718592965,-5.61353978855719
28.894472361809,-5.45641217593521
28.9145728643216,-5.30559310975684
28.9346733668342,-5.16075569002423
28.9547738693467,-5.0215948863611
28.9748743718593,-4.88782562694447
28.9949748743719,-4.75918110080842
29.0150753768844,-4.63541124471568
29.035175879397,-4.51628139025313
29.0552763819095,-4.40157105049979
29.0753768844221,-4.29107282868552
29.0954773869347,-4.18459143382248
29.1155778894472,-4.08194279043541
29.1356783919598,-3.98295323132266
29.1557788944724,-3.8874587637997
29.1758793969849,-3.79530440116429
29.1959798994975,-3.70634355221568
29.2160804020101,-3.6204374625885
29.2361809045226,-3.53745470245729
29.2562814070352,-3.4572706958458
29.2763819095477,-3.37976728736005
29.2964824120603,-3.30483234266489
29.3165829145729,-3.23235937945795
29.3366834170854,-3.16224722606993
29.356783919598,-3.09439970514457
29.3768844221106,-3.02872534013552
29.3969849246231,-2.96513708260295
29.4170854271357,-2.90355205850854
29.4371859296482,-2.84389133189619
29.4572864321608,-2.78607968451118
29.4773869346734,-2.73004541005613
29.4974874371859,-2.67572012191112
29.5175879396985,-2.62303857325837
29.5376884422111,-2.57193848865278
29.5577889447236,-2.52236040616894
29.5778894472362,-2.47424752933474
29.5979899497487,-2.42754558813247
29.6180904522613,-2.38220270841172
29.6381909547739,-2.33816928911539
29.6582914572864,-2.29539788677023
29.678391959799,-2.25384310674004
29.6984924623116,-2.21346150078026
29.7185929648241,-2.17421147046992
29.7386934673367,-2.13605317613092
29.7587939698492,-2.09894845087467
29.7788944723618,-2.0628607194439
29.7989949748744,-2.02775492154292
29.8190954773869,-1.99359743937185
29.8391959798995,-1.96035602910187
29.8592964824121,-1.92799975604719
29.8793969849246,-1.89649893330714
29.8994974874372,-1.86582506366757
29.9195979899498,-1.83595078456566
29.9396984924623,-1.80684981593541
29.9597989949749,-1.77849691076401
29.9798994974874,-1.75086780819996
30,-1.72393918906507
